Epoch	Batch	Perplexity
4	7	119.6243
4	8	126.2271
4	9	133.8924
4	10	119.4674
4	11	136.3570
4	12	128.6681
4	13	141.0490
4	14	133.9676
4	15	132.7722
4	16	130.4958
4	17	113.2258
4	18	141.8630
4	19	130.5879
4	20	128.2509
4	21	120.2543
4	22	124.5849
4	23	143.2532
4	24	154.9152
4	25	138.7351
4	26	116.0556
4	27	128.4482
4	28	125.4057
4	29	130.2894
4	30	135.0934
4	31	137.8902
4	32	141.8543
4	33	139.4535
4	34	137.8186
4	35	122.6801
4	36	125.0560
4	37	114.9178
4	38	142.4579
4	39	141.5982
4	40	129.8594
4	41	137.2845
4	42	130.3759
4	43	137.8911
4	44	101.9099
4	45	128.7350
4	46	156.9990
4	47	122.1053
4	48	127.2909
4	49	123.9850
4	50	125.3076
4	51	121.8850
4	52	136.1829
4	53	128.7916
4	54	125.9594
4	55	135.7295
4	56	139.6106
4	57	138.5823
4	58	120.7902
4	59	114.3413
4	60	136.0258
4	61	128.3214
4	62	124.9567
4	63	140.2624
4	64	127.3713
4	65	112.5169
4	66	137.9315
4	67	130.0804
4	68	130.3789
4	69	108.1017
4	70	119.8250
4	71	129.5594
4	72	129.8346
4	73	136.8197
4	74	121.3242
4	75	135.7612
4	76	120.7112
4	77	130.7603
4	78	125.4105
4	79	121.4077
4	80	131.6208
4	81	118.9209
4	82	103.1679
4	83	131.6081
4	84	122.9791
4	85	130.4915
4	86	126.4876
4	87	124.3147
4	88	150.1831
4	89	131.2069
4	90	123.9998
4	91	128.5748
4	92	124.2251
4	93	130.9474
4	94	136.1402
4	95	131.7138
4	96	112.4893
4	97	133.1963
4	98	134.6215
4	99	110.8881
4	100	126.7852
4	101	122.9752
4	102	132.7716
4	103	109.0684
4	104	126.9114
4	105	131.6871
4	106	151.1190
4	107	105.3196
4	108	141.6799
4	109	129.6850
4	110	120.7289
4	111	129.5990
4	112	97.6466
4	113	115.4442
4	114	111.7634
4	115	132.8769
4	116	127.7875
4	117	133.7006
4	118	125.3589
4	119	127.0546
4	120	112.5833
4	121	109.7014
4	122	123.2329
4	123	110.5662
4	124	123.7118
4	125	116.3637
4	126	113.5873
4	127	119.7032
4	128	128.6502
4	129	121.2281
4	130	127.7537
4	131	120.3614
4	132	123.5450
4	133	130.0298
4	134	108.8813
4	135	127.5975
